Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.0048e+07,68,21,21
1.00918e+07,518,158,158
1.01257e+07,813,342,334
1.00992e+07,657,161,158
1.00721e+07,348,87,86
1.00472e+07,59,22,22
1.00596e+07,193,54,54
1.00435e+07,27,7,7
1.00464e+07,61,17,17
1.01147e+07,761,355,355
1.00869e+07,462,169,169
1.00558e+07,187,43,43
1.01327e+07,975,278,278
1.01402e+07,1021,339,338
1.00467e+07,65,10,10
1.00432e+07,23,5,5
1.0044e+07,26,11,11
1.00497e+07,93,29,29
1.00844e+07,477,151,151
1.0095e+07,579,221,218
1.00615e+07,188,74,74
1.00718e+07,313,103,102
1.00463e+07,57,18,18
1.00432e+07,26,7,7
1.00656e+07,255,78,78
1.00536e+07,149,30,30
1.00794e+07,358,129,129
1.01455e+07,1132,356,339
1.00591e+07,182,64,64
1.00511e+07,113,18,18
1.00819e+07,371,167,167
1.0088e+07,550,156,156
1.00415e+07,2,2,2
1.00978e+07,582,165,165
1.00552e+07,130,48,48
1.00456e+07,48,9,9
1.00437e+07,26,11,11
1.00481e+07,53,34,34
1.00475e+07,65,33,33
1.0042e+07,9,5,5
1.00676e+07,308,79,76
1.00425e+07,15,6,6
1.01218e+07,853,331,327
1.01095e+07,675,206,202
1.0063e+07,238,51,51
1.01162e+07,852,217,216
1.00479e+07,74,18,18
1.0079e+07,366,131,127
1.00425e+07,12,5,5
1.01241e+07,911,324,324
1.0103e+07,630,157,146
1.01174e+07,846,217,202
1.01069e+07,746,164,162
1.00416e+07,3,3,3
1.00818e+07,453,107,107
1.00534e+07,136,47,47
1.00428e+07,12,10,10
1.00925e+07,573,129,129
1.00496e+07,93,34,34
1.00493e+07,92,24,24
1.01005e+07,585,163,163
1.00463e+07,47,24,24
1.01044e+07,650,242,242
1.0077e+07,403,75,75
1.00855e+07,468,152,145
1.00887e+07,625,16,16
1.01167e+07,742,360,358
1.01116e+07,926,14,14
1.00479e+07,91,5,5
1.01179e+07,825,261,261
1.00834e+07,462,98,92
1.00511e+07,94,37,37
1.0053e+07,120,43,43
1.00613e+07,283,4,4
1.01602e+07,1417,306,289
1.00897e+07,540,136,128
1.00487e+07,95,14,14
1.00608e+07,258,6,6
1.01076e+07,774,206,203
1.00633e+07,249,56,56
1.01344e+07,1042,450,449
1.00562e+07,181,52,52
1.00418e+07,4,4,4
1.00504e+07,98,28,28
1.00757e+07,345,120,120
1.00693e+07,301,75,75
1.00821e+07,394,179,179
1.01136e+07,719,241,236
1.00598e+07,215,38,38
1.01148e+07,724,276,276
1.00496e+07,90,19,19
1.00545e+07,137,33,33
1.00875e+07,487,142,136
1.01102e+07,809,279,275
1.00428e+07,15,7,7
1.00476e+07,77,11,11
1.00616e+07,208,65,65
1.00441e+07,30,16,16
1.01632e+07,1237,475,475
1.01265e+07,889,316,315
1.00521e+07,92,50,50
1.00432e+07,26,6,6
1.00423e+07,13,4,4
1.00428e+07,13,9,9
1.0071e+07,330,107,103
1.00413e+07,1,1,1
1.0079e+07,417,54,54
1.01403e+07,1201,216,211
1.0048e+07,94,14,14
1.00465e+07,64,11,11
1.01176e+07,818,348,348
1.00661e+07,211,113,113
1.0058e+07,168,39,39
1.00422e+07,12,3,3
1.01849e+07,1528,479,472
1.00431e+07,16,9,9
1.01165e+07,795,275,273
1.00426e+07,14,6,6
1.00594e+07,194,63,63
1.00427e+07,15,5,5
1.00533e+07,117,49,49
1.01084e+07,780,240,236
1.00662e+07,258,81,81
1.01223e+07,856,321,316
1.00432e+07,24,8,8
1.00421e+07,7,6,6
1.00937e+07,581,162,157
1.0087e+07,452,196,196
1.00427e+07,22,4,4
1.00605e+07,264,4,4
1.00462e+07,67,7,7
1.00561e+07,148,54,54
1.02211e+07,1949,804,797
1.0094e+07,663,70,70
1.00435e+07,17,13,13
1.00435e+07,22,11,11
1.00633e+07,247,74,74
1.00876e+07,480,148,144
1.00461e+07,52,17,17
1.0045e+07,45,7,7
1.00838e+07,421,175,172
1.00428e+07,14,9,9
1.01007e+07,660,227,225
1.00689e+07,285,63,62
1.00937e+07,571,188,184
1.00426e+07,22,2,2
1.0059e+07,165,73,73
1.01571e+07,1313,503,500
1.00534e+07,171,14,13
1.0104e+07,622,224,224
1.00826e+07,458,137,137
1.01278e+07,1188,2,2
1.00491e+07,86,28,28
1.0042e+07,11,3,3
1.0045e+07,31,17,17
1.01131e+07,913,51,50
1.00541e+07,128,47,47
1.00812e+07,426,116,116
1.00427e+07,14,10,10
1.00496e+07,93,21,21
1.00563e+07,162,48,48
1.00424e+07,10,8,8
1.00452e+07,33,18,18
1.00551e+07,146,44,44
1.00824e+07,480,88,88
1.00415e+07,2,2,2
1.00892e+07,497,118,118
1.00599e+07,204,43,43
1.00536e+07,112,46,46
1.00766e+07,438,49,47
1.00662e+07,269,56,56
1.00429e+07,15,10,10
1.01218e+07,893,276,273
1.00612e+07,228,15,15
1.00483e+07,72,24,24
1.01415e+07,1212,269,258
1.01176e+07,838,334,332
1.0045e+07,36,15,15
1.0057e+07,155,58,58
1.00859e+07,486,155,155
1.00727e+07,311,102,102
1.01324e+07,903,441,437
1.01435e+07,1087,431,391
1.00483e+07,69,23,23
1.02041e+07,1800,633,630
1.00451e+07,43,16,16
1.01335e+07,916,336,336
1.00909e+07,538,142,142
1.00913e+07,474,205,201
1.00719e+07,335,83,82
1.00949e+07,562,232,220
1.00474e+07,63,22,22
1.00444e+07,29,17,17
1.01114e+07,737,200,198
1.0101e+07,647,176,169
1.01321e+07,916,323,319
1.01137e+07,735,225,219
1.01257e+07,876,336,334
1.0052e+07,102,47,47
1.00429e+07,15,9,9
1.02211e+07,1949,804,797
1.01768e+07,1390,586,585
1.0065e+07,251,69,65
1.00839e+07,506,49,40
1.01628e+07,1497,11,11
1.01006e+07,657,239,237
1.00675e+07,250,108,107
1.00427e+07,15,7,7
1.00431e+07,21,8,8
1.0042e+07,6,6,6
1.00423e+07,9,8,8
1.01545e+07,1234,398,394
1.00535e+07,143,29,29
1.00969e+07,568,244,243
1.00735e+07,366,77,74
1.00519e+07,118,31,31
1.00487e+07,102,5,5
1.00476e+07,64,27,27
1.00432e+07,20,7,7
1.0048e+07,79,17,17
1.00426e+07,14,6,6
1.00423e+07,13,4,4
1.00668e+07,261,92,92
1.00869e+07,442,175,174
1.00421e+07,6,6,6
1.00442e+07,27,13,13
1.00931e+07,583,176,173
1.00732e+07,384,36,36
1.01129e+07,706,221,219
1.00436e+07,17,12,12
1.00431e+07,26,3,3
1.00436e+07,27,8,8
1.00773e+07,380,101,100
1.00566e+07,175,26,26
1.00662e+07,350,5,5
1.00714e+07,281,121,120
1.0081e+07,413,162,162
1.00429e+07,12,11,11
1.00453e+07,39,15,15
1.00966e+07,587,134,130
1.00683e+07,233,105,105
1.00677e+07,263,91,91
1.00909e+07,516,163,161
1.00668e+07,338,56,55
1.00515e+07,154,3,3
1.01197e+07,766,280,280
1.00909e+07,532,120,113
1.00562e+07,171,41,41
1.00423e+07,11,5,5
1.00758e+07,354,95,95
1.0118e+07,765,247,243
1.00948e+07,608,109,100
1.00922e+07,493,199,199
1.00573e+07,152,66,66
1.00423e+07,9,9,9
1.01301e+07,993,312,308
1.00473e+07,81,7,7
1.00879e+07,592,127,120
1.00744e+07,333,101,101
1.01355e+07,1073,352,316
1.00798e+07,363,127,125
1.00671e+07,274,96,92
1.00416e+07,3,3,3
1.0053e+07,120,46,46
1.00448e+07,41,11,11
1.0054e+07,161,5,5
1.00886e+07,456,171,170
1.00424e+07,9,7,7
1.00584e+07,211,44,44
1.00438e+07,35,4,4
1.00441e+07,31,11,11
1.01213e+07,821,287,286
1.00941e+07,733,3,3
1.00791e+07,475,3,3
1.00741e+07,272,157,157
1.00572e+07,171,45,41
1.00798e+07,400,90,88
1.00428e+07,20,3,3
1.01385e+07,998,477,477
1.01784e+07,1479,444,439
1.00431e+07,13,10,10
1.00444e+07,47,5,5
1.00445e+07,24,17,17
1.01247e+07,927,250,249
1.00457e+07,45,16,16
1.00923e+07,501,217,216
1.01269e+07,1166,3,3
1.01117e+07,775,234,224
1.00521e+07,113,37,37
1.00438e+07,39,2,2
1.00423e+07,12,5,5
1.00453e+07,41,22,22
1.00475e+07,58,33,33
1.00425e+07,11,6,6
1.00644e+07,213,86,84
1.00431e+07,21,6,6
1.01357e+07,912,381,379
1.00772e+07,380,81,79
1.0042e+07,9,3,3
1.00429e+07,22,4,4
1.00584e+07,230,7,7
1.0088e+07,617,66,63
1.01041e+07,671,171,162
1.01035e+07,763,161,161
1.00617e+07,206,96,96
1.00504e+07,123,17,17
1.01087e+07,755,192,167
1.00429e+07,14,14,14
1.0043e+07,11,11,11
1.00535e+07,127,46,46
1.00478e+07,59,35,35
1.00975e+07,595,195,191
1.01005e+07,553,247,245
1.00607e+07,215,75,75
1.01226e+07,818,295,288
1.01044e+07,598,234,234
1.00441e+07,34,12,12
1.00981e+07,566,292,291
1.00514e+07,134,2,2
1.00544e+07,124,65,65
1.00485e+07,71,23,23
1.00513e+07,124,25,25
1.00931e+07,506,185,184
1.00732e+07,278,113,112
1.00469e+07,57,22,22
1.0137e+07,943,386,386
1.00594e+07,183,72,72
1.01227e+07,924,262,262
1.00438e+07,30,9,9
1.00716e+07,283,128,128
1.0047e+07,63,13,13
1.00659e+07,290,64,64
1.00437e+07,19,14,14
1.01549e+07,1134,364,360
1.00562e+07,121,63,63
1.00565e+07,177,43,43
1.00486e+07,71,25,25
1.01241e+07,916,222,222
1.00536e+07,110,61,61
1.0062e+07,213,54,53
1.00508e+07,100,31,31
1.01854e+07,1466,541,530
1.00594e+07,210,49,49
1.00436e+07,15,14,14
1.00483e+07,93,10,10
1.00626e+07,249,61,61
1.01066e+07,661,218,218
1.00897e+07,519,135,130
1.00741e+07,358,103,103
1.00803e+07,367,168,167
1.00817e+07,464,108,105
1.00446e+07,34,8,8
1.00458e+07,48,21,21
1.00504e+07,98,33,33
1.01132e+07,666,279,279
1.00458e+07,47,18,18
1.01e+07,661,204,201
1.00423e+07,11,5,5
1.00422e+07,12,3,3
1.00429e+07,13,10,10
1.00639e+07,243,77,77
1.0128e+07,931,338,321
1.00441e+07,26,11,11
1.00795e+07,388,136,131
1.00606e+07,224,51,51
1.00879e+07,483,152,150
1.0042e+07,6,6,6
1.00433e+07,18,11,11
1.0043e+07,17,9,9
1.0069e+07,244,116,116
1.0056e+07,160,53,53
1.00418e+07,6,4,4
1.00432e+07,31,2,2
1.01098e+07,813,120,117
1.00449e+07,32,15,15
1.01073e+07,726,204,197
1.00847e+07,507,78,64
1.00654e+07,308,13,13
1.01047e+07,714,165,164
1.00464e+07,49,14,14
1.00649e+07,245,111,111
1.01098e+07,722,262,261
1.00415e+07,2,2,2
1.00451e+07,35,20,20
1.00476e+07,78,16,16
1.0076e+07,365,92,91
1.00649e+07,274,39,23
1.01344e+07,982,334,334
1.00418e+07,5,5,5
1.00646e+07,241,57,57
1.00889e+07,496,176,174
1.00473e+07,81,8,8
1.00627e+07,199,93,93
1.00459e+07,59,10,10
1.01351e+07,1063,248,241
1.00434e+07,20,10,10
1.00928e+07,584,141,140
1.00452e+07,45,14,14
1.00746e+07,392,93,92
1.01394e+07,1067,422,420
1.00455e+07,46,16,16
1.01694e+07,1340,560,560
1.00829e+07,436,125,125
1.01132e+07,745,258,257
1.00708e+07,335,82,81
1.01364e+07,1047,388,387
1.00622e+07,207,76,76
1.00837e+07,356,167,167
1.01086e+07,750,189,187
1.00817e+07,362,165,165
1.00895e+07,670,4,4
1.00479e+07,60,29,29
1.00939e+07,497,207,205
1.00498e+07,73,40,40
1.00494e+07,90,18,18
1.00587e+07,173,59,59
1.00663e+07,262,63,59
1.00764e+07,369,105,105
1.00916e+07,563,113,111
1.01001e+07,565,243,239
1.00427e+07,21,4,4
1.00565e+07,168,38,38
1.01004e+07,594,235,230
1.00435e+07,23,10,10
1.01465e+07,1221,351,340
1.00664e+07,294,17,17
1.00485e+07,69,28,28
1.01032e+07,663,267,263
1.00545e+07,149,29,29
1.00668e+07,372,2,2
1.01022e+07,625,207,207
1.01006e+07,659,252,251
1.01206e+07,807,295,294
1.00826e+07,456,101,97
1.00417e+07,4,3,3
1.00919e+07,539,169,169
1.00438e+07,26,12,12
1.02211e+07,1949,804,797
1.00432e+07,26,4,4
1.00443e+07,32,12,12
1.01282e+07,1002,268,263
1.00573e+07,153,64,64
1.00413e+07,1,1,1
1.00781e+07,520,5,5
1.00509e+07,128,21,21
1.00427e+07,19,4,4
1.01233e+07,913,227,227
1.00749e+07,333,117,116
1.00685e+07,260,129,129
1.00667e+07,239,98,98
1.0057e+07,181,29,29
1.00624e+07,219,71,71
1.0184e+07,1481,624,622
1.01903e+07,1479,615,612
1.00768e+07,399,118,118
1.00614e+07,290,2,2
1.01138e+07,773,281,280
1.00415e+07,2,2,2
1.00423e+07,13,6,6
1.00417e+07,4,3,3
1.00431e+07,17,7,7
1.00447e+07,32,17,17
1.00686e+07,271,105,105
1.02211e+07,1949,804,797
1.00843e+07,441,151,151
1.0085e+07,479,117,114
1.00738e+07,358,93,93
1.00482e+07,71,20,20
1.00728e+07,342,76,62
1.00873e+07,506,139,137
1.00463e+07,46,18,18
1.00464e+07,59,14,14
1.00558e+07,144,32,32
1.00792e+07,419,142,142
1.00548e+07,154,36,36
1.00446e+07,34,14,14
1.00512e+07,122,10,10
1.01677e+07,1313,509,506
1.0146e+07,1135,435,435
1.00445e+07,36,7,7
1.00436e+07,27,7,7
1.00563e+07,162,54,54
1.00698e+07,332,68,68
1.00429e+07,14,10,10
1.01631e+07,1276,531,527
1.00499e+07,110,12,12
1.00793e+07,420,103,103
1.00432e+07,22,7,7
1.00595e+07,178,44,43
1.00517e+07,119,28,28
1.00423e+07,8,7,7
1.00678e+07,310,89,70
1.00421e+07,10,3,3
1.01333e+07,999,367,364
1.00823e+07,508,117,117
1.009e+07,520,163,160
1.00415e+07,2,2,2
1.00422e+07,8,8,8
1.00417e+07,4,4,4
1.0068e+07,300,50,49
1.00659e+07,228,90,90
1.0051e+07,123,21,21
